ID,NU_NOTA_LC
0,520.1219282502963
1,574.8517643339865
2,526.4245439888211
3,480.8397120725611
4,532.7649973009203
5,573.5974863020429
6,490.7884383520618
7,489.96273628173805
8,504.69873541894566
9,610.9435607908874
10,599.3624733469337
11,594.2072332964264
12,473.85159804538233
13,617.7057271232562
14,430.60115260404143
15,441.71522903627834
16,634.9497646747556
17,605.2258747821857
18,526.0188718979086
19,530.2594907725983
20,477.69213965778874
21,591.2322842341841
22,568.1300439073952
23,483.50361986269496
24,457.96786469415395
25,567.9368466416666
26,447.3372223996385
27,538.3447698020318
28,462.25340541271436
29,483.6042359862055
30,530.9487941064427
31,624.5390865037014
32,587.9519516832759
33,557.1423555300465
34,554.462017377392
35,464.7592577242044
36,498.7299540063554
37,521.747052958233
38,529.2816288404663
39,513.822414571469
40,490.710832675109
41,528.0340427730115
42,542.2141754318383
43,443.6474695568172
44,665.5538021217544
45,417.63528445310703
46,498.75162619702934
47,464.6955310991522
48,451.172165147314
49,542.2360521386744
50,476.1537464527787
51,473.4036298921249
52,474.28196604728953
53,534.0454696555947
54,560.5836581529522
55,560.0113514110974
56,467.2784859553004
57,531.7315129581698
58,548.5812820435583
59,607.831394805732
60,470.122912150729
61,476.2169665975644
62,461.17627223135264
63,535.4471375980472
64,540.9018439487706
65,454.78639368589626
66,529.1751138368213
67,444.90978433698785
68,452.6088992851459
69,532.1591550191309
70,550.3577005879432
71,593.6954082675719
72,517.8712965801327
73,518.9052398638258
74,579.6411082936661
75,502.812459715807
76,518.4030668097437
77,467.49203629582547
78,570.5312893954126
79,587.3670045094692
80,516.6268270136783
81,572.694303866393
82,479.36496226034853
83,466.9691847527444
84,493.32751111486016
85,544.1849225573188
86,501.105679185284
87,533.8063284321809
88,460.19231451480033
89,489.1227172062899
90,506.7774112328819
91,510.1711508044434
92,550.5006877786984
93,454.6346399952696
94,586.9305192001875
95,595.1719886819824
96,527.2131941323963
97,456.1790166616203
98,515.361224553919
99,538.9722868318136
100,614.0654764807016
101,520.1762610002099
102,546.9404887868454
103,595.6317535911172
104,536.2667264865357
105,648.7393127577988
106,640.7590991386305
107,615.7654625213631
108,488.4103457447485
109,650.2685401797236
110,545.5493926879719
111,497.3490010183281
112,519.506457992042
113,602.9284600270286
114,485.64535019404906
115,504.79012556657545
116,516.0144324006186
117,543.7580957568615
118,615.7970260852532
119,557.9786711068042
120,534.7744410947737
